id,Predicted,Observed
90652,772.3666667,2164
90830,685.9342941,2164
91143,1083.733392,3138
91241,1064.38649,3138
91418,1010.762118,2929
91437,823.0260392,2929
91546,929.1351961,2809
91623,924.3806863,2809
91725,907.7692745,2839
91750,819.195902,2839
91951,717.2021471,1987
92006,603.7664167,1987
92104,775.9784314,2482
92144,774.3956078,2482
92257,847.7853922,2612
92315,757.5411765,2612
92421,727.3274314,3415
92435,803.5736961,3415
92526,805.7350294,2502
92556,774.1299118,2502
92844,808.8806078,2324
92856,811.7924706,2324
92950,931.746098,2566
93013,969.5231765,2566
93120,922.3228627,2932
93134,896.0938431,2932
93234,849.3847843,2325
93254,820.040549,2325
93355,889.9063333,2987
93416,887.1397255,2987
93544,886.0458627,2334
93556,815.7461765,2334
93647,703.2168039,1389
93707,629.8060784,1389
93809,896.858549,3024
93827,900.3828824,3024
93934,768.7167451,2370
93959,804.1433333,2370
94055,1099.36849,1864
94111,758.6256667,1864
94319,780.168,2241
94338,711.2638824,2241
94353,1099.322314,3494
94416,905.3385686,3494
94827,917.0754118,1768
94843,723.4002941,1768
94941,706.2512549,2263
94953,870.8848824,2263
95053,549.7336863,1630
95106,633.6643039,1630
95156,748.7569363,3239
95206,841.9081569,3239
95258,867.9523529,2882
95313,889.7062353,2882
95355,895.1660392,2458
95405,856.6294902,2458
95457,944.3066863,3184
95505,1016.019588,3184
95557,911.0225,1984
95626,747.5702353,1984
100015,916.4481961,3014
100039,884.022549,3014
100152,587.7006422,1783
100203,639.2869314,1783
100259,632.3633529,1931
100312,659.6438775,1931
100410,964.4311176,3216
100426,928.6253922,3216
100505,887.1126667,3284
100516,991.8030588,3284
100814,897.7853529,3497
100831,746.3975686,3497
100937,651.5530392,2273
100950,709.864902,2273
101252,788.9767647,1827
101303,742.0379804,1827
101354,916.6337059,2848
101403,793.8555294,2848
101441,484.1412647,984
101453,475.7117941,984
101642,631.7409314,1542
101702,672.3962843,1542
101756,672.0092059,2537
101814,959.4183725,2537
101855,897.9359412,2390
101903,940.3020784,2390
101945,760.5383627,1869
102001,685.4291471,1869
102059,695.8559118,1447
102111,795.4073333,1447
102237,931.6071765,2563
102253,864.7049216,2563
102326,732.0545686,2527
102338,863.1626667,2527
102412,676.0180392,1649
102428,727.9601176,1649
102506,804.2146667,2327
102518,784.4833137,2327
102612,747.1985098,2200
102623,771.5471373,2200
102901,556.4883137,845
102912,451.700598,845
103004,841.101098,2481
103017,814.8992745,2481
103058,717.6195392,2350
103111,755.5287941,2350
103201,788.4256863,2218
103217,776.3982941,2218
103305,845.7946667,2233
103330,820.8297059,2233
103521,920.9984706,3593
103534,907.1840784,3593
103614,782.0653529,2614
103625,853.5898039,2614
103702,815.9717255,3441
103712,882.0110784,3441
103749,909.4768431,2463
103759,827.5341765,2463
103830,951.9098431,3627
103842,1019.144,3627
104138,830.0336471,3261
104151,603.7290294,3261
104239,632.5607059,1696
104254,615.644049,1696
104338,642.822549,1820
104351,607.7306176,1820
104446,751.8325294,3120
104500,647.4839608,3120
104541,605.0487843,2111
104553,608.4977745,2111
104723,613.1142255,1917
104732,635.5441765,1917
104830,642.6025686,1383
104840,693.126,1383
104915,629.5976667,1631
104924,665.5127647,1631
105004,713.0892941,2661
105013,717.1372353,2661
105047,658.56,1479
105101,661.342098,1479
105328,792.0860392,2078
105348,782.4840392,2078
105430,631.4407353,2203
105438,729.5400196,2203
105508,817.7374314,2299
105517,822.5768627,2299
105552,747.4581176,2081
105604,784.0588235,2081
105641,742.4628235,1870
105652,691.1310196,1870
105801,953.8396471,2975
105815,824.09,2975
105859,474.0774216,1110
105917,479.7133824,1110
110011,762.1887745,2123
110027,757.0266667,2123
110126,863.0358824,2647
110142,867.7870784,2647
110217,565.9609706,1198
110234,607.3312353,1198
110414,630.8898725,2221
110426,899.7606275,2221
110503,717.2977647,1583
110511,854.868549,1583
110552,569.7098235,1158
110601,636.6428529,1158
110634,716.2114706,1516
110647,605.1982941,1516
110734,663.2152843,3019
110744,717.1289216,3019
110857,569.9900588,4156
110909,765.9461961,4156
110942,716.2895196,2760
110954,858.3758039,2760
111026,722.3979804,2203
111040,797.5146275,2203
111113,939.7820588,3666
111122,910.6696275,3666
111207,692.9415882,4085
111219,1025.773706,4085
111420,485.3040392,672
111429,307.716598,672
111507,794.8040196,2160
111518,718.1059608,2160
111601,810.9902353,2498
111610,837.7108824,2498
111640,793.6096176,2342
111650,737.9141569,2342
111732,819.0740882,2826
111742,813.1876373,2826
111854,664.2885196,2406
111914,528.4333627,2406
111948,670.3592843,1526
111958,716.9182941,1526
112033,721.3791176,2171
112042,789.382598,2171
112116,647.4228725,1562
112128,637.016549,1562
